"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Energétique des bâtiments et confort (2 ou 3A)","Thermique, éclairage, mécanique des fluides, pour accompagner le changement climatique et le renchérissement des énergies","Non indiqué","3.0","Non indiqué","Examen écrit à la fin de chaque partie.","Le changement climatique est indiqué dans la présentation générale de la formation d'ingénieur, mais plus du tout mentionné dans le programme des cours. Il est abordé par le biais de quelques cours généraux en première année puis via des sujets techniques, mais ne semble pas traverser l'ensemble de la formation.
Aucun cours ou quasi sur la TE dans les majeures génie industriel, génie des matériaux, ingénierie mathématique. Cours technique qui ne développe pas les mécanismes et conséquences du changement climatique.",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Economie de la transition énergétique dans le bâtiment (1A)","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Non indiqué","",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Transition énergétique et changement climatique (1A)","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Non indiqué","",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Ville et transition énergétique (1A)","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Non indiqué","",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Non indiqué","développement durable: ingénieurs pour un monde complexe (1A)","Former les acteurs d'un développement durable","obligatoire","1.5","15.0","passage Sustainability Literacy Test, production d'une synthèse sur le lien entre développement durable et complexité et d'un essai sur le rôle de l'ingénieur acteur du DD","Cours avec un point de vue généraliste intéressant sur le nécessaire changement de posture des ingénieurs. Si les 3 cours au-dessus n'existent pas/plus, ce serait le seul cours relatif à la TE pour les étudiants de première année.",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/programme/Fiche.aspx?param=M:ECENV","Oui","Oui","Economie de l'environnement et de l'énergie (2-3A)","Micro économie de l'énergie, énergies fossiles, économie des ressources naturelles, négociation climat","Non indiqué","3.0","non indiqué","exposés et contrôle de connaissance","Pitch intéressant avec des notions abordées assez larges",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Energie, réduction et modification de la consommation (2-3A)","Problèmes énergétiques globaux, système électrique, filières énergétiques des transportss, Efficacité énergétique et maîtrise de la demande en énergie, Energies renouvelables,  politique publique ","Non indiqué","2.0","21.0","3 rapports de projet","Cours plus technique, qui a le mérite de poser la question de la maîtrise de la demande et de ne pas seulement enseigner des solutions techniques",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx?param=M:EGEDD","Oui","Oui","Eenjeux globaux de l'environnement et du DD","Pollution, climat énergie, océan, biodiversité","non indiqué","1.5","12.0","rapports de synthèse réalisés en groupes","Cycle de conférences avec des intervenants de haut niveau",""
