"ETABLISSEMENT","","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines ","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Introduction au parcours Procédés, Energie, Environnement","Introduction à divers systèmes énergétiques. ","Optionnel","2.0","21.0","Contrôle continu","Les divers systèmes énergétiques semblent correctement présentés mais le problème de la disponibilité des ressources ou du climat ne semblent pas abordés.","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. Thématique Energie","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Traitement de l'eau et des déchets","Les traitements de l’eau et des déchets sont devenus des problématiques sociales, environnementales  et industrielles majeures. Pour l'eau, cela engage les ressources en eau potable et l'abattement des polluants des effluents domestiques et industriels. Pour les déchets, la nécessité de limiter les installations de stockage et l'épuisement des ressources minérales de la planète conduisent à engager nos économies vers un recyclage des matières premières. Les objectifs de ce module sont de donner un panorama global de ces deux domaines et de présenter les filières et techniques de traitements disponibles, ainsi que d'apporter aux élèves des critères de choix.  ","Optionnel","2.0","21.0","Test écrit / contrôle continu / Oral, soutenance","Ce cours est obligatoire si l'étudiant choisit la majeure Energie. Permet d'aborder une analyse technique économique et environnementale pour le traitement des eaux usées ou des déchets.","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. Thématique Energie","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Le nucléaire civil : cycle du combustible, réacteurs et enjeux","nucléaire ; réacteur ; production d'énergie ; cycle du combustible ; retraitement","Optionnel","2.0","21.0","Test écrit","Balaie assez largement les différents enjeux du nucléaire, cours rythmé par des intervenants experts du domaine (CEA, BRGM, ARVEVA, EDF).","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. Thématique Energie","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Approche systémique des réacteurs"," Les objectifs de ce cours sont d’illustrer les couplages entre énergie, procédés et environnement, de donner des outils conceptuels à l’ingénieur pour dimensionner des réacteurs et en dresser les bilans matières et énergétique. Ce module représente ainsi le lien méthodologique entre les cours “Phénomènes de transport” et “Evaluation des impacts environnementaux”. Après avoir introduit l’approche systémique en génie des procédés, on déclinera l’usage de celle-ci pour prédire le fonctionnement des réacteurs et des échangeurs utilisés pour la production d’énergie et dans l’industrie, en prélude au calcul de leurs impacts environnementaux.
Plan : – Présentation du cours. Objectifs. Analyse systémique. Classification des réacteurs. Les procédés industriels gros consommateurs d’énergie et/ou gros émetteurs de CO2 : exemples. – Les réacteurs idéaux. (1) Rappels de cinétique. Bilans de matière dans un réacteur fermé en régime transitoire. (2) Bilans de matière dans les réacteurs parfaitement agité et piston en régime permanent. Association de réacteurs. (3) Bilans d’énergie dans les réacteurs idéaux. – Les échangeurs. (1) Transfert entre phases. Théorie simplifiée des échangeurs de matière, fermés et ouverts. (2) Transferts simultanés de matière et de chaleur. Opérations de l’air humide.
Conférence associée au cours: Les procédés de capture du CO2 pour la production d'énergie et l'industrie.","Optionnel","2.0","21.0","Test écrit / contrôle continu / Projet / Rapport","Ce cours est obligatoire si l'étudiant choisit la majeure Energie. Assez technique, aborde les enjeux environnementaux et notament les émissions de CO2 liées aux processus industriels.","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. Thématique Energie","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Évaluation des impacts environnementaux","Analyse de Cycle de Vie; ACV; impacts environnementaux; empreinte carbone","Optionnel","2.0","21.0","Test écrit / contrôle continu / Rapport","Ce cours est obligatoire si l'étudiant choisit la majeure Energie. Présentation éclairée des thèmes autour du changement climatique, la finitude des ressources et des impacts de l'homme (calculs d'émissions, pouvoir de réchauffement global). Cours de qualité, avec de nombreux exemples, et bien entendu présentant la méthode d'analyse de cycle de vie (ISO14040). ","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. Thématique Energie","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Improbable","Oui","Turbomachines hydroliques et éoliennes","Description des différentes familles de machines et de leur domaine d'utilisation.","Optionnel","2.0","21.0","Test écrit","Cours technique qui ne semble pas aller au-delà d'une présentation pratique (manque de contextualisation sur les enjeux énergétiques).","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. ","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Ecologie industrielle et développement durable","Du génie des procédés environnemental aux concepts de l'écologie industrielle. Ecologie industrielle, Développement durable, Analyse de Cycle de Vie, Gabi, Recyclage, Valorisation. Ecoconception, limite technologique.","Optionnel","4.0","36.0","Test écrit / contrôle continu / Projet / Rapport","Enseignement qui fait partie des cours électifs.","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines ","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Design thinking for sustainable change","RSE, ISO26000, production et consomation responsable","Optionnel","8.0","84.0","Contrôle Continue / Oral / Projet","Non indiqué. ","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines ","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Environnement et Développement Durable","Ecocitoyenneté, approche diversifiée et pluriculturelle de la thématique DD, en s’appuyant sur des considérations scientifiques, sociétales et humaines. Biodiversité. Défi agriculture. Réchauffement climatique. Fonctionnement ONG. ","Optionnel","8.0","84.0","Oral / Projet / Rapport","Très complet. Cet Atelier abrode de nombreux thèmes du sujet. ","Formation initiale","1.0"
"Ecole_ingénieurs","Mines Nancy","Ingénieur Civil des Mines. Thématique Energie","Sciences, Technologie, Santé","Ingénieur Généraliste","Parcours d'école d'ingénieur généraliste offrant différentes voies de majeurs (Energie, Mathématiques appliquées, Informatique, Géoingéniérie, Matériaux)","Bac+2","Bac+5","3.0","180.0","https://mines-nancy.univ-lorraine.fr/formation/ingenieur-civil-mines-icm/","Oui","Oui","Analyse environnementale des filières énergétiques - Stratégies énergétiques","Filières énergétiques, Analyse de Cycle de Vie (ACV, logiciel GaBi), impacts environnementaux, optimisation - stratégies énergétiques","Optionnel","2.0","33.0","Contrôle Continue / Oral / Projet / Rapport","","Formation initiale","1.0"
